Scenario,Nodes,Operations,Weights,DSU Time,Recalculation Time
Scenario 1,300,50,"(1, 1, 1, 1)",0.0001,0.0112
Scenario 2,300,50,"(5, 1, 1, 1)",0.0001,0.0113
Scenario 3,300,50,"(1, 5, 1, 1)",0.0001,0.0111
Scenario 4,300,50,"(1, 1, 5, 1)",0.0001,0.0107
Scenario 5,300,50,"(1, 1, 1, 5)",0.0000,0.0102
Scenario 1,300,100,"(1, 1, 1, 1)",0.0002,0.0227
Scenario 2,300,100,"(5, 1, 1, 1)",0.0002,0.0226
Scenario 3,300,100,"(1, 5, 1, 1)",0.0001,0.0216
Scenario 4,300,100,"(1, 1, 5, 1)",0.0001,0.0232
Scenario 5,300,100,"(1, 1, 1, 5)",0.0001,0.0204
Scenario 1,300,200,"(1, 1, 1, 1)",0.0004,0.0520
Scenario 2,300,200,"(5, 1, 1, 1)",0.0006,0.0547
Scenario 3,300,200,"(1, 5, 1, 1)",0.0003,0.0527
Scenario 4,300,200,"(1, 1, 5, 1)",0.0003,0.0483
Scenario 5,300,200,"(1, 1, 1, 5)",0.0003,0.0483
Scenario 1,300,300,"(1, 1, 1, 1)",0.0006,0.0756
Scenario 2,300,300,"(5, 1, 1, 1)",0.0008,0.0749
Scenario 3,300,300,"(1, 5, 1, 1)",0.0005,0.0845
Scenario 4,300,300,"(1, 1, 5, 1)",0.0004,0.0729
Scenario 5,300,300,"(1, 1, 1, 5)",0.0004,0.0653
Scenario 1,300,400,"(1, 1, 1, 1)",0.0007,0.0977
Scenario 2,300,400,"(5, 1, 1, 1)",0.0009,0.0981
Scenario 3,300,400,"(1, 5, 1, 1)",0.0004,0.0894
Scenario 4,300,400,"(1, 1, 5, 1)",0.0007,0.0964
Scenario 5,300,400,"(1, 1, 1, 5)",0.0009,0.0990
Scenario 1,300,500,"(1, 1, 1, 1)",0.0010,0.1174
Scenario 2,300,500,"(5, 1, 1, 1)",0.0013,0.1274
Scenario 3,300,500,"(1, 5, 1, 1)",0.0007,0.1183
Scenario 4,300,500,"(1, 1, 5, 1)",0.0012,0.2145
Scenario 5,300,500,"(1, 1, 1, 5)",0.0015,0.1928
Scenario 1,300,600,"(1, 1, 1, 1)",0.0028,0.1592
Scenario 2,300,600,"(5, 1, 1, 1)",0.0026,0.2132
Scenario 3,300,600,"(1, 5, 1, 1)",0.0010,0.1633
Scenario 4,300,600,"(1, 1, 5, 1)",0.0010,0.1509
Scenario 5,300,600,"(1, 1, 1, 5)",0.0010,0.1405
Scenario 1,300,700,"(1, 1, 1, 1)",0.0018,0.1910
Scenario 2,300,700,"(5, 1, 1, 1)",0.0019,0.1875
Scenario 3,300,700,"(1, 5, 1, 1)",0.0013,0.2145
Scenario 4,300,700,"(1, 1, 5, 1)",0.0012,0.1973
Scenario 5,300,700,"(1, 1, 1, 5)",0.0018,0.2051
Scenario 1,300,800,"(1, 1, 1, 1)",0.0017,0.2058
Scenario 2,300,800,"(5, 1, 1, 1)",0.0036,0.2982
Scenario 3,300,800,"(1, 5, 1, 1)",0.0014,0.2611
Scenario 4,300,800,"(1, 1, 5, 1)",0.0009,0.1935
Scenario 5,300,800,"(1, 1, 1, 5)",0.0015,0.1936
Scenario 1,300,900,"(1, 1, 1, 1)",0.0018,0.2398
Scenario 2,300,900,"(5, 1, 1, 1)",0.0026,0.2627
Scenario 3,300,900,"(1, 5, 1, 1)",0.0011,0.2127
Scenario 4,300,900,"(1, 1, 5, 1)",0.0014,0.2325
